## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,Availability,-1.000000,1.000000,Results,0.005768,0.005734,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.994232,0.994232
Dist,1.000000,0.005768,1.000000

