## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,Availability,-1.000000,1.000000,Results,0.980201,0.019407,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.019799,0.019799
Dist,1.000000,0.980201,1.000000

