## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,Availability,-1.000000,1.000000,Results,0.214286,0.168367,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.785714,0.785714
Dist,1.000000,0.214286,1.000000

